date,BTC_google_trend,ETH_google_trend,BNB_google_trend,ADA_google_trend,SOL_google_trend,DOGE_google_trend
2018-05-01,9,3,9,32,51,61
2018-05-02,9,3,9,31,51,58
2018-05-03,9,4,9,31,54,61
2018-05-04,8,3,8,30,52,62
2018-05-05,9,3,7,30,53,51
2018-05-06,8,3,8,32,54,57
2018-05-07,9,4,9,32,55,58
2018-05-08,8,3,9,32,57,58
2018-05-09,8,3,9,31,53,59
2018-05-10,8,3,9,31,56,63
2018-05-11,9,3,8,31,57,66
2018-05-12,8,2,8,29,53,53
2018-05-13,8,2,9,30,53,57
2018-05-14,8,3,9,30,54,58
2018-05-15,8,3,9,29,65,56
2018-05-16,7,3,8,28,67,58
2018-05-17,7,3,8,29,63,61
2018-05-18,8,3,8,29,67,60
2018-05-19,7,2,8,31,63,50
2018-05-20,7,2,8,32,64,58
2018-05-21,8,2,9,32,63,56
2018-05-22,8,3,9,33,71,58
2018-05-23,8,3,9,34,70,59
2018-05-24,8,3,9,35,65,65
2018-05-25,7,2,8,33,65,62
2018-05-26,7,2,8,34,61,54
2018-05-27,8,2,9,31,64,52
2018-05-28,7,3,9,29,58,55
2018-05-29,8,3,9,30,65,59
2018-05-30,8,3,9,30,63,57
2018-05-31,7,3,9,30,63,62
2018-06-01,8,2,8,28,64,57
2018-06-02,7,2,9,30,62,55
2018-06-03,7,2,9,28,61,51
2018-06-04,7,3,10,30,61,51
2018-06-05,7,3,10,29,63,52
2018-06-06,7,2,9,29,60,56
2018-06-07,7,2,9,28,59,55
2018-06-08,6,2,8,28,57,53
2018-06-09,7,2,8,28,56,58
2018-06-10,8,2,10,27,61,53
2018-06-11,9,2,10,26,58,53
2018-06-12,8,3,10,28,61,52
2018-06-13,8,3,9,26,59,54
2018-06-14,9,3,8,23,53,52
2018-06-15,7,2,7,21,57,56
2018-06-16,7,2,8,24,55,52
2018-06-17,7,2,9,27,54,57
2018-06-18,7,2,11,26,55,51
2018-06-19,7,2,10,26,56,50
2018-06-20,7,2,9,28,58,51
2018-06-21,7,2,8,28,60,51
2018-06-22,7,2,9,29,55,52
2018-06-23,7,2,9,28,59,51
2018-06-24,8,2,9,29,60,47
2018-06-25,7,2,11,29,58,47
2018-06-26,7,2,10,29,57,43
2018-06-27,7,2,9,29,67,50
2018-06-28,7,2,9,28,56,47
2018-06-29,8,2,9,31,61,55
2018-06-30,7,2,8,28,57,51
2018-07-01,7,2,10,30,57,48
2018-07-02,7,2,11,26,58,42
2018-07-03,7,2,9,29,59,42
2018-07-04,7,2,10,30,62,45
2018-07-05,7,2,10,30,59,46
2018-07-06,7,2,9,30,55,45
2018-07-07,6,1,9,28,59,47
2018-07-08,7,2,10,31,62,48
2018-07-09,7,2,12,31,61,46
2018-07-10,7,2,11,30,63,43
2018-07-11,6,2,9,30,59,46
2018-07-12,7,2,10,29,69,44
2018-07-13,7,2,9,30,62,47
2018-07-14,6,1,8,29,64,53
2018-07-15,6,2,9,28,65,51
2018-07-16,7,2,11,29,63,46
2018-07-17,8,2,13,32,65,55
2018-07-18,9,2,11,31,67,57
2018-07-19,8,2,11,32,67,54
2018-07-20,8,2,9,31,83,53
2018-07-21,7,2,9,32,75,55
2018-07-22,7,2,11,32,67,52
2018-07-23,8,2,12,34,61,53
2018-07-24,10,2,12,34,66,52
2018-07-25,9,2,11,32,66,54
2018-07-26,8,2,11,34,64,49
2018-07-27,8,2,10,36,73,54
2018-07-28,8,2,9,30,73,50
2018-07-29,7,2,11,33,71,52
2018-07-30,7,2,12,34,66,45
2018-07-31,8,2,12,35,70,51
