date,BTC_google_trend,ETH_google_trend,BNB_google_trend,ADA_google_trend,SOL_google_trend,DOGE_google_trend
2018-05-01,8,3,9,33,52,60
2018-05-02,8,3,9,31,51,59
2018-05-03,9,4,9,31,55,61
2018-05-04,8,3,8,31,54,62
2018-05-05,9,3,8,30,54,52
2018-05-06,8,3,9,32,51,58
2018-05-07,8,4,9,33,54,59
2018-05-08,8,3,9,32,54,57
2018-05-09,8,3,8,31,55,59
2018-05-10,8,3,8,32,57,64
2018-05-11,9,3,8,31,58,66
2018-05-12,8,2,8,29,53,54
2018-05-13,8,2,9,30,51,57
2018-05-14,8,3,10,30,54,58
2018-05-15,7,3,9,29,66,57
2018-05-16,8,3,9,29,66,58
2018-05-17,7,3,8,29,63,62
2018-05-18,7,3,8,29,67,60
2018-05-19,7,2,7,31,63,50
2018-05-20,7,2,9,32,65,53
2018-05-21,7,2,9,32,63,57
2018-05-22,8,3,9,33,71,58
2018-05-23,9,3,9,35,69,59
2018-05-24,8,3,8,34,65,65
2018-05-25,7,2,8,33,66,62
2018-05-26,7,2,7,33,61,54
2018-05-27,7,2,9,31,63,53
2018-05-28,7,3,9,29,59,55
2018-05-29,8,3,9,29,62,60
2018-05-30,8,3,9,30,64,57
2018-05-31,7,3,9,30,61,62
2018-06-01,7,2,8,28,64,58
2018-06-02,7,2,8,29,62,56
2018-06-03,7,2,9,29,63,51
2018-06-04,7,3,10,31,61,52
2018-06-05,7,3,10,30,62,53
2018-06-06,7,2,9,29,62,57
2018-06-07,7,2,9,28,59,56
2018-06-08,7,2,8,28,59,55
2018-06-09,6,2,8,28,56,58
2018-06-10,7,2,10,27,61,54
2018-06-11,9,2,10,28,59,53
2018-06-12,7,3,10,28,61,52
2018-06-13,8,3,10,26,60,54
2018-06-14,9,3,8,23,55,52
2018-06-15,7,2,8,21,60,56
2018-06-16,7,2,8,24,57,52
2018-06-17,7,2,9,27,52,58
2018-06-18,7,2,10,27,56,51
2018-06-19,7,2,10,26,58,51
2018-06-20,7,2,9,27,60,51
2018-06-21,7,2,8,27,60,51
2018-06-22,8,2,8,29,54,52
2018-06-23,8,2,8,28,61,51
2018-06-24,9,2,9,28,64,48
2018-06-25,7,2,11,28,58,44
2018-06-26,7,2,10,28,56,43
2018-06-27,7,2,10,28,66,51
2018-06-28,7,2,9,28,54,47
2018-06-29,8,2,9,31,61,55
2018-06-30,8,2,8,29,56,52
2018-07-01,7,2,10,30,58,49
2018-07-02,7,2,11,27,55,43
2018-07-03,7,2,10,29,57,42
2018-07-04,7,2,9,31,64,45
2018-07-05,7,2,10,30,59,45
2018-07-06,7,2,8,31,55,45
2018-07-07,6,1,8,29,58,47
2018-07-08,6,2,11,30,62,49
2018-07-09,7,2,12,31,57,46
2018-07-10,7,2,11,29,63,44
2018-07-11,6,2,10,30,60,44
2018-07-12,7,2,10,29,66,44
2018-07-13,7,2,10,31,63,47
2018-07-14,6,1,9,29,62,53
2018-07-15,6,2,10,28,65,51
2018-07-16,7,2,12,29,62,47
2018-07-17,8,2,12,30,66,56
2018-07-18,9,2,11,31,67,59
2018-07-19,8,2,10,32,68,56
2018-07-20,7,2,10,31,82,53
2018-07-21,7,2,9,31,76,55
2018-07-22,7,2,11,32,71,53
2018-07-23,8,2,12,35,61,54
2018-07-24,10,2,11,33,66,51
2018-07-25,10,2,11,33,66,55
2018-07-26,8,2,11,34,64,48
2018-07-27,8,2,10,34,74,54
2018-07-28,7,2,9,32,77,50
2018-07-29,7,2,10,32,71,53
2018-07-30,7,2,12,34,67,46
2018-07-31,7,2,12,35,70,51
2018-08-01,7,2,11,35,62,50
2018-08-02,7,2,12,36,65,46
2018-08-03,7,2,10,33,72,62
2018-08-04,7,2,9,31,73,74
2018-08-05,7,2,10,35,73,100
2018-08-06,7,2,12,35,62,62
2018-08-07,8,2,12,35,72,56
2018-08-08,9,3,11,36,67,53
2018-08-09,7,2,10,37,64,54
2018-08-10,8,2,9,33,64,57
2018-08-11,8,2,8,30,69,60
2018-08-12,7,2,11,36,67,54
2018-08-13,7,3,11,33,66,53
2018-08-14,8,3,11,32,73,52
2018-08-15,8,3,9,32,77,55
2018-08-16,8,2,10,29,69,51
2018-08-17,7,2,8,28,70,56
2018-08-18,7,2,9,30,67,54
2018-08-19,7,2,9,31,62,52
2018-08-20,7,2,10,33,60,51
2018-08-21,7,2,11,29,67,56
2018-08-22,8,2,9,30,66,55
2018-08-23,7,2,9,31,69,54
2018-08-24,7,2,8,32,71,58
2018-08-25,7,2,8,31,64,59
2018-08-26,7,2,10,34,65,53
2018-08-27,7,2,10,34,62,53
2018-08-28,8,2,10,35,67,57
2018-08-29,8,2,9,35,97,56
