date,open,high,low,close,volume,symbol,BTC,ETH,BNB,ADA,SOL,DOGE,fed_funds,treasury_10y,vix,m2,cpi,value,value_classification,gsadf_label_95,gsadf_label_90
2018-05-01,0.34145,0.36034,0.3187,0.35504,120368721.75,ADA,8.0,3.0,9.0,33.0,52.0,61.0,1.7,2.97,15.49,14077.4,250.792,56.0,Greed,Not Bubble,Not Bubble
2018-05-02,0.35498,0.37586,0.345,0.37199,65457686.29,ADA,8.0,3.0,9.0,30.0,51.0,58.0,1.7,2.97,15.97,14077.4,250.792,52.0,Neutral,Not Bubble,Not Bubble
2018-05-03,0.37199,0.3885,0.36402,0.36716,88326409.65,ADA,9.0,4.0,8.0,31.0,53.0,60.0,1.7,2.94,15.9,14077.4,250.792,55.0,Greed,Not Bubble,Not Bubble
2018-05-04,0.36683,0.36897,0.3465,0.358,56069269.37,ADA,9.0,3.0,8.0,30.0,55.0,61.0,1.7,2.95,14.77,14077.4,250.792,56.0,Greed,Not Bubble,Not Bubble
2018-05-05,0.3584,0.37434,0.35771,0.36502,46962690.28,ADA,10.0,3.0,7.0,29.0,52.0,51.0,1.7,2.95,14.77,14077.4,250.792,63.0,Greed,Not Bubble,Not Bubble
2018-05-06,0.36502,0.36641,0.33538,0.34654,63926868.16,ADA,8.0,3.0,8.0,32.0,53.0,56.0,1.7,2.95,14.77,14077.4,250.792,67.0,Greed,Not Bubble,Not Bubble
2018-05-07,0.34599,0.3474,0.291,0.33046,64060938.79,ADA,8.0,4.0,9.0,31.0,55.0,58.0,1.7,2.95,14.75,14077.4,250.792,56.0,Greed,Not Bubble,Not Bubble
2018-05-08,0.33079,0.34559,0.3163,0.32213,45105012.01,ADA,8.0,3.0,9.0,31.0,55.0,56.0,1.7,2.97,14.71,14077.4,250.792,62.0,Greed,Not Bubble,Not Bubble
2018-05-09,0.32213,0.32547,0.298,0.31884,60635549.24,ADA,8.0,3.0,9.0,30.0,51.0,58.0,1.7,3.0,13.42,14077.4,250.792,53.0,Neutral,Not Bubble,Not Bubble
2018-05-10,0.31884,0.3221,0.291,0.29121,38210521.24,ADA,7.0,3.0,8.0,30.0,55.0,63.0,1.7,2.97,13.23,14077.4,250.792,63.0,Greed,Not Bubble,Not Bubble
2018-05-11,0.29121,0.29349,0.2488,0.25573,141274876.67,ADA,9.0,3.0,8.0,31.0,56.0,65.0,1.7,2.97,12.65,14077.4,250.792,41.0,Fear,Not Bubble,Not Bubble
2018-05-12,0.25574,0.27898,0.23402,0.2655,145891622.18,ADA,8.0,2.0,8.0,29.0,52.0,53.0,1.7,2.97,12.65,14077.4,250.792,44.0,Fear,Not Bubble,Not Bubble
2018-05-13,0.26497,0.285,0.256,0.27718,80814388.52,ADA,7.0,2.0,8.0,29.0,50.0,57.0,1.7,2.97,12.65,14077.4,250.792,40.0,Fear,Not Bubble,Not Bubble
2018-05-14,0.27718,0.27815,0.25123,0.26655,91273066.64,ADA,8.0,3.0,9.0,30.0,53.0,57.0,1.7,3.0,12.93,14077.4,250.792,40.0,Fear,Not Bubble,Not Bubble
2018-05-15,0.26631,0.275,0.2513,0.25394,45482311.92,ADA,7.0,3.0,9.0,29.0,65.0,55.0,1.7,3.08,14.63,14077.4,250.792,40.0,Fear,Not Bubble,Not Bubble
2018-05-16,0.25394,0.2558,0.237,0.25237,52406357.98,ADA,7.0,3.0,9.0,30.0,64.0,58.0,1.7,3.09,13.42,14077.4,250.792,32.0,Fear,Not Bubble,Not Bubble
2018-05-17,0.25237,0.26054,0.23666,0.23919,40168712.8,ADA,7.0,3.0,8.0,29.0,57.0,61.0,1.7,3.11,13.43,14077.4,250.792,31.0,Fear,Not Bubble,Not Bubble
2018-05-18,0.23915,0.245,0.23037,0.24324,42061886.81,ADA,7.0,2.0,8.0,28.0,64.0,59.0,1.7,3.06,13.42,14077.4,250.792,37.0,Fear,Not Bubble,Not Bubble
2018-05-19,0.24382,0.2475,0.2358,0.24116,32607149.46,ADA,7.0,2.0,7.0,30.0,63.0,50.0,1.7,3.06,13.42,14077.4,250.792,31.0,Fear,Not Bubble,Not Bubble
2018-05-20,0.24151,0.26006,0.23832,0.25556,47300696.99,ADA,7.0,2.0,8.0,31.0,65.0,57.0,1.7,3.06,13.42,14077.4,250.792,32.0,Fear,Not Bubble,Not Bubble
2018-05-21,0.25556,0.25999,0.24301,0.24563,41754180.2,ADA,7.0,2.0,10.0,32.0,61.0,56.0,1.7,3.06,13.08,14077.4,250.792,41.0,Fear,Not Bubble,Not Bubble
2018-05-22,0.24588,0.2473,0.21841,0.22,46428678.88,ADA,7.0,3.0,10.0,32.0,67.0,57.0,1.7,3.06,13.22,14077.4,250.792,30.0,Fear,Not Bubble,Not Bubble
2018-05-23,0.22,0.2231,0.1927,0.1978,109714442.6,ADA,9.0,3.0,9.0,33.0,70.0,58.0,1.7,3.01,12.58,14077.4,250.792,26.0,Fear,Not Bubble,Not Bubble
2018-05-24,0.19767,0.2104,0.18865,0.2073,77927006.83,ADA,8.0,3.0,9.0,33.0,65.0,65.0,1.7,2.98,12.53,14077.4,250.792,27.0,Fear,Not Bubble,Not Bubble
2018-05-25,0.20731,0.209,0.19351,0.19788,75352005.68,ADA,7.0,2.0,8.0,33.0,64.0,61.0,1.7,2.93,13.22,14077.4,250.792,25.0,Extreme Fear,Not Bubble,Not Bubble
2018-05-26,0.19798,0.204,0.1938,0.19504,75181277.32,ADA,7.0,2.0,7.0,33.0,61.0,54.0,1.7,2.93,13.22,14077.4,250.792,23.0,Extreme Fear,Not Bubble,Not Bubble
2018-05-27,0.19506,0.1958,0.1901,0.19186,69065730.8,ADA,7.0,2.0,9.0,31.0,62.0,51.0,1.7,2.93,13.22,14077.4,250.792,19.0,Extreme Fear,Not Bubble,Not Bubble
2018-05-28,0.19198,0.194,0.17125,0.17249,97552880.14,ADA,7.0,3.0,9.0,28.0,59.0,57.0,1.7,2.93,13.22,14077.4,250.792,22.0,Extreme Fear,Not Bubble,Not Bubble
2018-05-29,0.17249,0.20896,0.17055,0.20164,152230373.78,ADA,7.0,3.0,9.0,29.0,65.0,58.0,1.7,2.77,17.02,14077.4,250.792,16.0,Extreme Fear,Not Bubble,Not Bubble
2018-05-30,0.20176,0.21683,0.19689,0.20779,170042582.1,ADA,7.0,3.0,9.0,29.0,62.0,57.0,1.7,2.84,14.94,14077.4,250.792,38.0,Fear,Not Bubble,Not Bubble
2018-05-31,0.20846,0.22879,0.20321,0.2233,168752746.02,ADA,7.0,3.0,9.0,30.0,62.0,62.0,1.7,2.83,15.43,14077.4,250.792,25.0,Extreme Fear,Not Bubble,Not Bubble
2018-06-01,0.22331,0.2285,0.21347,0.22038,120335358.8,ADA,7.0,2.0,8.0,28.0,64.0,57.0,1.7,2.89,13.46,14137.7,251.018,24.0,Extreme Fear,Not Bubble,Not Bubble
2018-06-02,0.22038,0.23,0.21666,0.22648,112561553.74,ADA,7.0,2.0,8.0,29.0,61.0,54.0,1.7,2.89,13.46,14137.7,251.018,27.0,Fear,Not Bubble,Not Bubble
2018-06-03,0.22647,0.23677,0.22259,0.22659,118516861.04,ADA,7.0,2.0,9.0,29.0,62.0,50.0,1.7,2.89,13.46,14137.7,251.018,40.0,Fear,Not Bubble,Not Bubble
2018-06-04,0.2266,0.2303,0.20882,0.21243,117544611.93,ADA,7.0,3.0,10.0,31.0,60.0,52.0,1.7,2.94,12.74,14137.7,251.018,41.0,Fear,Not Bubble,Not Bubble
2018-06-05,0.21217,0.2216,0.20221,0.21839,126062349.89,ADA,7.0,2.0,10.0,29.0,60.0,52.0,1.7,2.92,12.4,14137.7,251.018,26.0,Fear,Not Bubble,Not Bubble
2018-06-06,0.21835,0.21949,0.20799,0.21452,95597932.0,ADA,7.0,2.0,9.0,28.0,59.0,56.0,1.7,2.97,11.64,14137.7,251.018,42.0,Fear,Not Bubble,Not Bubble
2018-06-07,0.2147,0.21863,0.208,0.21019,88495885.67,ADA,6.0,2.0,9.0,28.0,60.0,54.0,1.7,2.93,12.13,14137.7,251.018,38.0,Fear,Not Bubble,Not Bubble
2018-06-08,0.21034,0.21053,0.20025,0.2043,88036857.34,ADA,7.0,2.0,8.0,26.0,58.0,53.0,1.7,2.93,12.18,14137.7,251.018,40.0,Fear,Not Bubble,Not Bubble
2018-06-09,0.2043,0.21,0.20031,0.2011,77594290.31,ADA,7.0,2.0,8.0,28.0,53.0,57.0,1.7,2.93,12.18,14137.7,251.018,39.0,Fear,Not Bubble,Not Bubble
2018-06-10,0.20108,0.20108,0.16806,0.17346,142220130.36,ADA,8.0,2.0,9.0,27.0,59.0,52.0,1.7,2.93,12.18,14137.7,251.018,24.0,Extreme Fear,Not Bubble,Not Bubble
2018-06-11,0.17346,0.18067,0.16404,0.17897,89060527.57,ADA,9.0,2.0,10.0,26.0,58.0,53.0,1.7,2.96,12.35,14137.7,251.018,15.0,Extreme Fear,Not Bubble,Not Bubble
2018-06-12,0.1791,0.1813,0.158,0.16297,92630936.01,ADA,8.0,3.0,10.0,27.0,59.0,51.0,1.7,2.96,12.34,14137.7,251.018,19.0,Extreme Fear,Not Bubble,Not Bubble
2018-06-13,0.16309,0.16609,0.145,0.15791,123774555.35,ADA,8.0,3.0,9.0,25.0,57.0,53.0,1.7,2.98,12.94,14137.7,251.018,19.0,Extreme Fear,Not Bubble,Not Bubble
2018-06-14,0.15798,0.177,0.153,0.17062,201282329.4,ADA,8.0,2.0,8.0,22.0,51.0,51.0,1.9,2.94,12.12,14137.7,251.018,17.0,Extreme Fear,Not Bubble,Not Bubble
2018-06-15,0.17091,0.171,0.15997,0.16097,114391790.3,ADA,7.0,2.0,8.0,21.0,57.0,57.0,1.9,2.93,11.98,14137.7,251.018,26.0,Fear,Not Bubble,Not Bubble
2018-06-16,0.16098,0.16436,0.15762,0.16191,78883976.9,ADA,7.0,2.0,8.0,23.0,55.0,51.0,1.9,2.93,11.98,14137.7,251.018,22.0,Extreme Fear,Not Bubble,Not Bubble
2018-06-17,0.16209,0.16436,0.15962,0.16044,83655537.2,ADA,6.0,2.0,9.0,26.0,52.0,57.0,1.9,2.93,11.98,14137.7,251.018,23.0,Extreme Fear,Not Bubble,Not Bubble
2018-06-18,0.16047,0.1681,0.1554,0.1637,106510458.5,ADA,7.0,2.0,10.0,25.0,53.0,50.0,1.9,2.92,12.31,14137.7,251.018,27.0,Fear,Not Bubble,Not Bubble
2018-06-19,0.1637,0.17149,0.1612,0.167,92579516.2,ADA,7.0,2.0,10.0,26.0,56.0,50.0,1.91,2.89,13.35,14137.7,251.018,32.0,Fear,Not Bubble,Not Bubble
2018-06-20,0.16675,0.16768,0.15675,0.16182,101010133.4,ADA,7.0,2.0,9.0,27.0,58.0,52.0,1.92,2.93,12.79,14137.7,251.018,34.0,Fear,Not Bubble,Not Bubble
2018-06-21,0.16181,0.16369,0.1567,0.15779,81701394.9,ADA,7.0,2.0,9.0,27.0,59.0,50.0,1.92,2.9,14.64,14137.7,251.018,37.0,Fear,Not Bubble,Not Bubble
2018-06-22,0.15773,0.15861,0.13429,0.13843,130675681.78,ADA,7.0,2.0,8.0,28.0,54.0,52.0,1.92,2.9,13.77,14137.7,251.018,28.0,Fear,Not Bubble,Not Bubble
2018-06-23,0.13786,0.14189,0.13345,0.1371,87709847.3,ADA,7.0,2.0,9.0,28.0,57.0,49.0,1.92,2.9,13.77,14137.7,251.018,17.0,Extreme Fear,Not Bubble,Not Bubble
2018-06-24,0.13708,0.13828,0.1191,0.13093,143899464.51,ADA,8.0,2.0,10.0,28.0,62.0,48.0,1.92,2.9,13.77,14137.7,251.018,15.0,Extreme Fear,Not Bubble,Not Bubble
2018-06-25,0.13085,0.13889,0.12619,0.13521,112684748.8,ADA,7.0,2.0,10.0,29.0,58.0,44.0,1.92,2.87,17.33,14137.7,251.018,16.0,Extreme Fear,Not Bubble,Not Bubble
2018-06-26,0.13521,0.13571,0.12458,0.12519,64025933.4,ADA,7.0,2.0,10.0,29.0,56.0,43.0,1.92,2.88,15.92,14137.7,251.018,21.0,Extreme Fear,Not Bubble,Not Bubble
2018-06-27,0.12512,0.12832,0.12271,0.12752,94123430.1,ADA,7.0,2.0,9.0,27.0,65.0,49.0,1.91,2.83,17.91,14137.7,251.018,18.0,Extreme Fear,Not Bubble,Not Bubble
2018-06-28,0.12753,0.12891,0.11742,0.11825,98846440.6,ADA,6.0,2.0,9.0,28.0,54.0,47.0,1.91,2.84,16.85,14137.7,251.018,20.0,Extreme Fear,Not Bubble,Not Bubble
2018-06-29,0.11818,0.127,0.11359,0.12534,127501994.7,ADA,7.0,2.0,9.0,31.0,60.0,55.0,1.91,2.85,16.09,14137.7,251.018,16.0,Extreme Fear,Not Bubble,Not Bubble
2018-06-30,0.12541,0.1388,0.12533,0.13784,165385662.3,ADA,7.0,2.0,9.0,28.0,56.0,50.0,1.91,2.85,16.09,14137.7,251.018,22.0,Extreme Fear,Not Bubble,Not Bubble
2018-07-01,0.13783,0.1459,0.13303,0.14211,154425115.8,ADA,7.0,2.0,10.0,30.0,56.0,48.0,1.91,2.85,16.09,14171.1,251.214,27.0,Fear,Not Bubble,Not Bubble
