coin,model,macro_f1,weighted_f1,accuracy,f1_not_bubble,f1_creation,f1_collapse
ADA,XGBoost,0.5647,0.6104,0.6289,0.4923,0.2038,0.0919
ADA,LASSO,0.4644,0.6445,0.6438,0.516,0.2635,0.0877
BNB,XGBoost,0.3696,0.5981,0.6015,0.5308,0.1568,0.0672
BNB,LASSO,0.3087,0.5016,0.4912,0.4538,0.1334,0.0637
BTC,XGBoost,0.6545,0.7839,0.793,0.7306,0.2164,0.0511
BTC,LASSO,0.4715,0.7957,0.7714,0.8182,0.1645,0.0421
DOGE,XGBoost,0.4942,0.6355,0.6465,0.6367,0.0966,0.0106
DOGE,LASSO,0.3792,0.6453,0.6109,0.643,0.0888,0.0653
ETH,LASSO,0.5344,0.6447,0.6255,0.491,0.3353,0.086
ETH,XGBoost,0.524,0.6488,0.6466,0.4634,0.3279,0.1021
SOL,LASSO,0.3445,0.5928,0.5524,0.5896,0.0966,0.1431
SOL,XGBoost,0.3375,0.4803,0.5035,0.4824,0.09,0.1336
