model,scope,coin,fold,train_start,test_end,accuracy,macro_f1,weighted_f1,f1_not_bubble,f1_creation,f1_collapse,feature_importance
LASSO,per_coin,ADA,5,2019-08-01,2020-11-01,0.21739130434782608,0.1929824561403509,0.10755148741418764,0.052631578947368425,0.33333333333333337,0.0,"close               1.0598
ret_30d             0.4233
roc_30              0.4233
greed               0.3763
price_position_60   0.1775
                     ...  
volume_ratio_7      0.0000
volume_ma_30        0.0000
volume_ma_14        0.0000
volume_ma_7         0.0000
is_month_end        0.0000
Length: 133, dtype: float64"
LASSO,per_coin,ADA,6,2019-11-01,2021-02-01,0.31521739130434784,0.2396694214876033,0.15109593963348905,0.0,0.4793388429752066,0.0,"quarter_3           1.2909
greed               0.6396
fear_greed_ma_30    0.5160
fear_greed_std_30   0.1761
rsi_14              0.1330
                     ...  
volume_ma_30        0.0000
volume_ma_14        0.0000
volume_ma_7         0.0000
realized_vol_30     0.0000
is_month_end        0.0000
Length: 133, dtype: float64"
LASSO,per_coin,ADA,7,2020-02-01,2021-05-01,0.7752808988764045,0.2929936305732484,0.7703428039791025,0.0,0.8789808917197452,0.0,"quarter_3            1.8980
price_position_60    1.8956
quarter_2            1.2782
ma_ratio_30_60       0.9109
rsi_14_lag_1         0.7906
                      ...  
roc_30               0.0000
roc_14               0.0000
roc_7                0.0000
rsi_30               0.0000
buy_bitcoin_zscore   0.0000
Length: 133, dtype: float64"
LASSO,per_coin,ADA,8,2020-05-01,2021-08-01,0.41304347826086957,0.2923076923076923,0.24147157190635454,0.0,0.5846153846153846,0.0,"ma_ratio_30_60               2.1214
quarter_3                    1.9919
fed_funds                    1.2477
sentiment_price_divergence   1.1221
quarter_1                    0.9016
                              ...  
roc_7                        0.0000
rsi_30                       0.0000
vix                          0.0000
rsi_7                        0.0000
buy_bitcoin_zscore           0.0000
Length: 133, dtype: float64"
LASSO,per_coin,ADA,9,2020-08-01,2021-11-01,0.7717391304347826,0.7684286227975548,0.7672248018385628,0.0,0.796116504854369,0.7407407407407406,"month_cos                1.9129
rsi_14_lag_14            1.6108
ma_ratio_30_60           1.4339
treasury_10y_change_1d   1.0948
quarter_2                1.0880
                          ...  
ret_7d                   0.0000
fear_greed_zscore        0.0000
fed_funds_ma_30          0.0000
extreme_fear             0.0000
volume_ma_7              0.0000
Length: 133, dtype: float64"
LASSO,per_coin,ADA,10,2020-11-01,2022-02-01,0.3695652173913043,0.17989417989417988,0.199447895100069,0.0,0.0,0.5396825396825397,"rsi_30                  1.5808
rsi_14_lag_14           1.5333
daily_range             1.4505
quarter_1               1.1783
volume_zscore           1.0615
                         ...  
extreme_greed           0.0000
volume_ma_7             0.0000
fear_greed_change_14d   0.0000
volume_ma_14            0.0000
ma_ratio_30_60          0.0000
Length: 133, dtype: float64"
LASSO,per_coin,ADA,11,2021-02-01,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,"rsi_30              2.2775
rsi_14_lag_14       1.6241
price_position_30   0.8644
quarter_2           0.4818
zscore_30           0.4169
                     ...  
volume_ratio_30     0.0000
volume_ratio_7      0.0000
volume_ma_30        0.0000
volume_ma_14        0.0000
is_month_end        0.0000
Length: 133, dtype: float64"
LASSO,per_coin,ADA,12,2021-05-01,2022-08-01,0.2391304347826087,0.18299652990406204,0.24758712958278975,0.2391304347826087,0.0,0.30985915492957744,"month_cos                1.5302
rsi_14_lag_14            1.2647
atr_14                   0.8978
fed_funds_change_30d     0.8244
trend_price_divergence   0.7997
                          ...  
roc_7                    0.0000
rsi_14                   0.0000
rsi_7                    0.0000
volume_ma_30             0.0000
buy_bitcoin_zscore       0.0000
Length: 133, dtype: float64"
LASSO,per_coin,ADA,13,2021-08-01,2022-11-01,0.9130434782608695,0.3181818181818182,0.9545454545454545,0.9545454545454545,0.0,0.0,"month_sin             2.2992
bitcoin_price_trend   1.7087
rsi_14_lag_14         1.2665
price_position_30     1.2635
ma_60                 1.1941
                       ...  
yield_spread_change   0.0000
ret_14d               0.0000
m2_growth_30d         0.0000
m2_growth_60d         0.0000
is_month_end          0.0000
Length: 133, dtype: float64"
LASSO,per_coin,ADA,14,2021-11-01,2023-02-01,1.0,1.0,1.0,1.0,0.0,0.0,"sell_crypto_trend      0.9990
price_position_30      0.6721
price_volume_corr_30   0.6565
rsi_7                  0.5209
fear_greed_ma_30       0.5069
                        ...  
m2_growth_30d          0.0000
crypto_crash_zscore    0.0000
cpi_change_30d         0.0000
ma_14                  0.0000
open                   0.0000
Length: 133, dtype: float64"
LASSO,per_coin,ADA,15,2022-02-01,2023-05-01,1.0,1.0,1.0,1.0,0.0,0.0,"ret_1d_lag_1       2.4476
ret_7d_lag_14      2.2668
day_of_week_sin    1.7361
vix                1.4889
ret_1d_lag_7       1.4599
                    ...  
volume_std_30      0.0000
volume_change_7d   0.0000
volume_ratio_30    0.0000
volume_ratio_7     0.0000
is_month_end       0.0000
Length: 133, dtype: float64"
LASSO,per_coin,ADA,16,2022-05-01,2023-08-01,0.9891304347826086,0.4972677595628415,0.994535519125683,0.994535519125683,0.0,0.0,"ma_60                        0.5280
volume_ratio_30_lag_14       0.1223
open                         0.0000
sentiment_price_divergence   0.0000
fed_funds_change_1d          0.0000
                              ...  
volume_ma_30                 0.0000
volume_ma_14                 0.0000
volume_ma_7                  0.0000
realized_vol_30              0.0000
is_month_end                 0.0000
Length: 133, dtype: float64"
LASSO,per_coin,ADA,20,2023-05-01,2024-08-01,1.0,1.0,1.0,1.0,0.0,0.0,"ma_ratio_30_60     0.8472
zscore_30          0.4963
close              0.4482
ret_30d            0.4083
roc_30             0.4083
                    ...  
volume_change_7d   0.0000
volume_ratio_30    0.0000
volume_ratio_7     0.0000
volume_ma_30       0.0000
is_month_end       0.0000
Length: 133, dtype: float64"
LASSO,per_coin,ADA,21,2023-08-01,2024-11-01,1.0,1.0,1.0,1.0,0.0,0.0,"ma_ratio_30_60           2.1693
own_trend_std_30         1.0324
trend_price_divergence   1.0004
trend_price_corr_30      0.6111
buy_bitcoin_zscore       0.5426
                          ...  
own_trend_change_1d      0.0000
own_trend_zscore         0.0000
ma_7                     0.0000
own_trend_ma_30          0.0000
open                     0.0000
Length: 133, dtype: float64"
LASSO,per_coin,BNB,3,2019-02-01,2020-05-01,0.3333333333333333,0.16666666666666666,0.4722222222222222,0.5,0.0,0.0,"volume_ratio_30_lag_1   0.8612
rsi_14_lag_1            0.8452
fear_greed_change_14d   0.7964
fed_funds_change_30d    0.7933
real_rate_10y           0.7402
                         ...  
rsi_7                   0.0000
volume_zscore           0.0000
volume_change_7d        0.0000
volume_ratio_30         0.0000
is_month_end            0.0000
Length: 133, dtype: float64"
LASSO,per_coin,BNB,4,2019-05-01,2020-08-01,0.967391304347826,0.4917127071823204,0.9834254143646409,0.9834254143646408,0.0,0.0,"fear_greed_momentum     1.1808
ma_ratio_30_60          1.1781
volume_ratio_30_lag_1   1.0173
fear_greed_change_14d   0.8085
vix_change_7d           0.6722
                         ...  
price_position_60       0.0000
roc_30                  0.0000
roc_7                   0.0000
rsi_14                  0.0000
is_month_end            0.0000
Length: 133, dtype: float64"
LASSO,per_coin,BNB,5,2019-08-01,2020-11-01,0.6195652173913043,0.5132275132275133,0.6962272831838049,0.7407407407407407,0.2857142857142857,0.0,"ma_ratio_30_60           0.8670
fear_greed_ma_7          0.6695
rsi_14_lag_1             0.5614
volume_ratio_30_lag_1    0.5277
trend_price_divergence   0.4854
                          ...  
own_trend_zscore         0.0000
real_rate_10y            0.0000
fear_greed               0.0000
ret_1d                   0.0000
is_month_end             0.0000
Length: 133, dtype: float64"
LASSO,per_coin,BNB,6,2019-11-01,2021-02-01,0.31521739130434784,0.1677917068466731,0.4658295249675066,0.47058823529411764,0.03278688524590164,0.0,"ret_7d_lag_1         0.5369
high                 0.3808
ret_7d               0.3039
roc_7                0.3039
buy_bitcoin_zscore   0.2654
                      ...  
roc_30               0.0000
roc_14               0.0000
rsi_30               0.0000
rsi_14               0.0000
is_month_end         0.0000
Length: 133, dtype: float64"
LASSO,per_coin,BNB,7,2020-02-01,2021-05-01,0.8764044943820225,0.3151515151515151,0.913585291113381,0.0,0.9454545454545454,0.0,"ret_7d_lag_3         1.5559
fear_greed_lag_14    1.4800
ret_7d_lag_1         1.4573
zscore_30            1.3195
roc_30               0.8419
                      ...  
volume_ratio_7       0.0000
volume_ma_30         0.0000
volume_ma_14         0.0000
volume_ma_7          0.0000
buy_bitcoin_zscore   0.0000
Length: 133, dtype: float64"
LASSO,per_coin,BNB,8,2020-05-01,2021-08-01,0.09782608695652174,0.15384615384615383,0.1454849498327759,0.0,0.4615384615384615,0.0,"zscore_30             2.0378
ma_ratio_30_60        1.5376
ret_7d_lag_3          1.4201
trend_price_corr_30   1.0712
is_month_end          0.9338
                       ...  
volume_ratio_7        0.0000
volume_ma_30          0.0000
volume_ma_14          0.0000
volume_ma_7           0.0000
buy_bitcoin_zscore    0.0000
Length: 133, dtype: float64"
LASSO,per_coin,BNB,9,2020-08-01,2021-11-01,0.5543478260869565,0.2764227642276423,0.6489925768822905,0.0,0.8292682926829268,0.0,"ma_ratio_30_60        1.2379
zscore_30             0.8564
volatility_trend      0.7836
month_cos             0.7567
rsi_30                0.7347
                       ...  
extreme_greed         0.0000
fear_greed_momentum   0.0000
volume_ma_7           0.0000
volume_ma_14          0.0000
m2_growth_60d         0.0000
Length: 133, dtype: float64"
LASSO,per_coin,BNB,10,2020-11-01,2022-02-01,0.5434782608695652,0.37118437118437114,0.5233317407230451,0.0,0.25641025641025644,0.857142857142857,"month_cos                    0.8710
greed_streak                 0.6394
own_trend_ma_7               0.5357
sentiment_price_divergence   0.4539
month_sin                    0.4033
                              ...  
buy_bitcoin_trend            0.0000
atr_14                       0.0000
altcoin_season_zscore        0.0000
volume_ma_7                  0.0000
volume_ratio_30              0.0000
Length: 133, dtype: float64"
LASSO,per_coin,BNB,11,2021-02-01,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,"rsi_30              1.0350
fear_greed_ma_7     0.6713
price_position_30   0.6296
rsi_14_lag_14       0.1251
extreme_fear        0.0649
                     ...  
volume_ma_14        0.0000
volume_ma_7         0.0000
realized_vol_30     0.0000
realized_vol_7      0.0000
is_month_end        0.0000
Length: 133, dtype: float64"
LASSO,per_coin,BNB,12,2021-05-01,2022-08-01,0.5,0.25717171717171716,0.5648550724637681,0.6515151515151515,0.0,0.12000000000000001,"own_trend_momentum      2.4656
rsi_30                  1.6142
own_trend_ma_30         1.4852
vix                     1.2644
fear_greed_momentum     0.8995
                         ...  
cpi                     0.0026
m2_growth_60d           0.0000
altcoin_season_zscore   0.0000
altcoin_season_trend    0.0000
m2_growth_90d           0.0000
Length: 133, dtype: float64"
LASSO,per_coin,BNB,13,2021-08-01,2022-11-01,1.0,1.0,1.0,1.0,0.0,0.0,"own_trend_momentum           1.7044
month_sin                    1.6153
own_trend_ma_30              1.4865
rsi_14_lag_14                1.1563
volume_ratio_30_lag_3        0.8239
                              ...  
greed_streak                 0.0000
fear_streak                  0.0000
sentiment_price_divergence   0.0000
fed_funds_change_1d          0.0000
is_month_end                 0.0000
Length: 133, dtype: float64"
