Model,Class,Precision,Recall,F1-Score
XGBoost Baseline,Not Bubble,0.8532,0.9767,0.9108
XGBoost Baseline,Bubble Creation,1.0,0.0311,0.0603
XGBoost Baseline,Bubble Collapse,0.0492,0.1765,0.0769
XGBoost Baseline,-- MACRO AVG --,--,--,0.3493
XGBoost Baseline,-- WEIGHTED AVG (F1) --,--,--,0.7845
XGBoost Baseline,-- ROC-AUC (weighted) --,--,--,0.7405
XGBoost Tuned,Not Bubble,0.8546,0.9996,0.9214
XGBoost Tuned,Bubble Creation,1.0,0.0263,0.0513
XGBoost Tuned,Bubble Collapse,0.0,0.0,0.0
XGBoost Tuned,-- MACRO AVG --,--,--,0.3242
XGBoost Tuned,-- WEIGHTED AVG (F1) --,--,--,0.7919
XGBoost Tuned,-- ROC-AUC (weighted) --,--,--,0.7124
