Coin,Class,Precision,Recall,F1-Score
ADA,Not Bubble,0.8476,1.0,0.9175
ADA,Bubble Creation,1.0,0.1098,0.1978
ADA,Bubble Collapse,0.0,0.0,0.0
ADA,-- MACRO AVG --,--,--,0.5577
BNB,Not Bubble,0.7443,1.0,0.8534
BNB,Bubble Creation,1.0,0.0275,0.0536
BNB,Bubble Collapse,0.0,0.0,0.0
BNB,-- MACRO AVG --,--,--,0.3023
BTC,Not Bubble,0.763,0.9734,0.8555
BTC,Bubble Creation,0.9512,0.4756,0.6341
BTC,Bubble Collapse,0.4545,0.4348,0.4444
BTC,-- MACRO AVG --,--,--,0.6447
DOGE,Not Bubble,0.8451,0.9904,0.912
DOGE,Bubble Creation,0.9118,0.3563,0.5124
DOGE,Bubble Collapse,0.0,0.0,0.0
DOGE,-- MACRO AVG --,--,--,0.4748
ETH,Not Bubble,0.8791,1.0,0.9357
ETH,Bubble Creation,0.0,0.0,0.0
ETH,Bubble Collapse,0.0,0.0,0.0
ETH,-- MACRO AVG --,--,--,0.3119
SOL,Not Bubble,1.0,0.2072,0.3433
SOL,Bubble Creation,0.4103,0.9877,0.5797
SOL,Bubble Collapse,0.2125,0.9444,0.3469
SOL,-- MACRO AVG --,--,--,0.4233
